City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Pangkalanbuun,ID,73.29,light rain,-2.6833,111.6167,Grand Kecubung Hotel
195,Sambava,MG,75.24,clear sky,-14.2667,50.1667,Melrose
201,Sahbuz,AZ,83.8,broken clouds,39.4072,45.5739,
203,Sechura,PE,76.32,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
204,Korla,CN,78.69,broken clouds,41.7597,86.1469,Gulisitan Hotel
206,Sao Filipe,CV,74.46,clear sky,14.8961,-24.4956,Hotel Xaguate
210,Poum,NC,70.74,overcast clouds,-20.2333,164.0167,Gîte kajeon
212,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
213,Salinopolis,BR,83.05,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
215,North Myrtle Beach,US,88.34,clear sky,33.816,-78.68,Avista Resort
224,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
226,Ranong,TH,79.23,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
228,Basco,PH,84.65,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
230,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
231,Kieta,PG,75.18,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
234,Souillac,MU,74.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
237,Laguna,US,82.15,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
239,Nargana,PA,81.01,broken clouds,9.4428,-78.5906,Dubbir
240,Doume,CM,78.17,broken clouds,4.2333,13.45,Hotel Universel
241,Tabou,CI,82.44,light rain,4.423,-7.3528,hotêl doufoulougou
243,Bengkulu,ID,75.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
245,Saint George,US,89.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
250,Hirekerur,IN,72.99,scattered clouds,14.4667,75.3833,Shivali Lodge
251,Castro,BR,74.41,few clouds,-24.7911,-50.0119,CHACARA BAILLY
253,Mana,GF,80.01,overcast clouds,5.6592,-53.7767,LE SAMANA
254,Mabaruma,GY,78.06,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
257,Tautira,PF,80.62,broken clouds,-17.7333,-149.15,Pension Oaoa
258,Katobu,ID,74.43,broken clouds,-4.9408,122.5276,La Ode Husein
259,Honiara,SB,76.21,overcast clouds,-9.4333,159.95,Heritage Park Hotel
260,Faanui,PF,79.14,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
262,Libertador General San Martin,AR,78.3,few clouds,-23.8064,-64.7876,Posada del Sol
263,Hirara,JP,80.29,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
264,Torit,SS,77.34,broken clouds,4.4133,32.5678,Diplomat Guest House
266,Pangai,TO,78.24,light rain,-19.8,-174.35,Ha'apai Beach Resort
268,Huicheng,CN,84.15,overcast clouds,23.0385,116.2899,Huilai Hotel
272,Paita,PE,77.56,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
275,Bagn,NO,77.09,clear sky,60.8225,9.5521,Sunvoll camping
278,Playas,EC,76.15,overcast clouds,-2.6333,-80.3833,Hostal Promenade
279,Ergani,TR,72.95,few clouds,38.2653,39.7621,Serkan Hotel
280,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
283,Sur,OM,89.87,few clouds,22.5667,59.5289,Sur Plaza Hotel
284,Aitape,PG,78.69,moderate rain,-3.1374,142.3475,
285,Fare,PF,79.41,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
286,Puerto Madero,MX,89.8,broken clouds,14.7208,-92.4215,Hotel La Central
288,Ternate,ID,81.73,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
291,Biak,ID,76.39,overcast clouds,-0.9131,122.8766,Penginapan Kim
292,Gamba,GA,77.54,broken clouds,-2.65,10.0,
294,Luganville,VU,74.07,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
295,Samarai,PG,77.92,overcast clouds,-10.6167,150.6667,Nuli Sapi
296,Sao Joao Da Barra,BR,81.1,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
297,Yarada,IN,82.72,broken clouds,17.65,83.2667,Jeevan
300,Lotofaga,WS,74.98,broken clouds,-13.9764,-171.8578,Sataoa Beach Fales
301,Goya,AR,70.25,clear sky,-29.14,-59.2626,Apart Costanera
302,Misratah,LY,72.43,scattered clouds,32.3754,15.0925,فندق الماسة
305,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
307,Buchanan,LR,84.16,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
311,Kavieng,PG,81.97,light rain,-2.5744,150.7967,Nusa Island Retreat
312,Trairi,BR,85.46,broken clouds,-3.2778,-39.2689,janelas do mar
314,Grand-Santi,GF,80.98,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
317,Banda Aceh,ID,80.38,light rain,5.5577,95.3222,Sulthan Hotel International
325,Grand Gaube,MU,74.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
327,Lagoa Formosa,BR,86.02,overcast clouds,-18.7786,-46.4075,Lagoa Hotel
328,Paka,MY,79.12,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
329,Washim,IN,82.49,moderate rain,20.1,77.15,Hotel Maniprabha
330,Loubomo,CG,78.73,few clouds,-4.1997,12.6739,La Dolisienne
331,Tura,IN,78.24,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
333,Daru,PG,76.32,overcast clouds,-9.0763,143.2092,Daru Lodge
335,Paranapanema,BR,86.05,moderate rain,-23.3886,-48.7228,Hotel Beira Rio
338,Faya,SA,70.32,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
339,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
347,Ouesso,CG,75.72,overcast clouds,1.6136,16.0517,Hôtel LAVOUMA suite
348,Shetpe,KZ,78.66,scattered clouds,44.1667,52.1167,Rtsm Shetpe Analog
349,Kalaiya,NP,82.78,few clouds,27.0327,85.0022,Wiz khalifa palace
350,Betare Oya,CM,72.54,moderate rain,5.6,14.0833,Auberge Tembina Betaré Oya
352,Mahanoro,MG,70.56,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
357,Mitsamiouli,KM,78.44,scattered clouds,-11.3847,43.2844,Foyer ADM
361,Khash,IR,82.58,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
362,Puerto Narino,CO,89.55,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
365,Alvaraes,BR,89.47,scattered clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
366,Umm Lajj,SA,85.26,overcast clouds,25.0213,37.2685,Moon light Furnished Units
368,Santa Catarina Mita,GT,78.73,overcast clouds,14.45,-89.75,Piscinas y Rancho de Papá Rubio y Mamá Cata
369,Sula,PH,80.89,overcast clouds,15.4573,120.3955,River Stone Hotel
371,Imperial Beach,US,77.77,overcast clouds,32.5839,-117.1131,"Motel 6 San Diego, CA - Southbay"
372,Payyannur,IN,78.49,overcast clouds,12.1,75.2,Kavvayi Beach House
379,Axim,GH,81.86,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
382,Los Algarrobos,PA,88.21,scattered clouds,8.5,-82.4333,Waterfall Hostel
388,Lakatoro,VU,72.9,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
391,Huatusco,MX,80.58,overcast clouds,19.15,-96.95,Hotel Misión Cocuyos Alta Montaña
393,Kota Belud,MY,78.66,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
399,Ambilobe,MG,72.36,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
400,Basak,PH,73.31,moderate rain,6.7274,124.1512,Annie Vallite Alabastro Swimming Pool
403,Estelle,US,83.03,broken clouds,29.8458,-90.1067,Ohio
406,Buala,SB,76.87,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
